2030,,,,,,,2040,,,,,
,México,Tipo (D: dato duro) /T: Tendecia),Fuente,Mundo,Tipo (D: dato duro) /T: Tendecia),Fuente,México ,Tipo (D: dato) /T: Tendecia),Fuente,Mundo,Tipo (D: dato) /T: Tendecia),Fuente 
1,México será el noveno país con el mayor número de habitantes en el mundo.,D,https://www.dgcs.unam.mx/boletin/bdboletin/2018_299.html,Las poblaciones urbanas aumentarán casi el doble de rápido que la población total y alcanzarán el 60% de la población mundial.,T,https://www.aecoc.es/articulos/irr-las-20-megatendencias-que-cambiaran-el-mundo-en-2030/,Defunciones proyectadas para el año 2040: 1128177,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,"El envejecimiento será mundial. El crecimiento de la población mundial se ralentizará y alcanzará su máximo, posiblemente dentro de 20 años, con cerca de 8,300 millones de personas. ",T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf
2,Cada 100 delitos cometidos por lo menos 70 terminarán en una resolución satisfactoria para la víctima.,T,https://archivo.cepal.org/pdfs/GuiaProspectiva/VisionMexico2030.pdf,Tendremos ‘ciudades verdes’ tecnológicamente avanzadas que operarán en una red inteligente.,T,https://www.aecoc.es/articulos/irr-las-20-megatendencias-que-cambiaran-el-mundo-en-2030/,Emigrantes internacionales : 340540,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,"Habrá un salto continuo en la población urbana mundial, que se espera que supere los 6000 millones en 2045",T,https://www.aecoc.es/articulos/irr-las-20-megatendencias-que-cambiaran-el-mundo-en-2030/
3,Se cometerán menos de 5 homicidios por cada 100 mil habitantes.,T,https://archivo.cepal.org/pdfs/GuiaProspectiva/VisionMexico2030.pdf,"El crecimiento de los hogares encabezados por mujeres superará significativamente el de los hogares encabezados por hombres (1,9% frente al 1,1%), llegando a casi el 44% de todos los hogares. ",T,https://www.aecoc.es/articulos/irr-las-20-megatendencias-que-cambiaran-el-mundo-en-2030/,Esperanza de vida al nacimiento hombres : 75.29,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,Una “ventana” de oportunidad demográfica favorable seguirá abierta en América Latina la década de 2030 pero se cerrará en la década de 2040. ,T,https://publications.iadb.org/publications/spanish/document/Am%C3%A9rica-Latina-y-el-Caribe-2030-Escenarios-futuros.pdf
4,Habrá menos de 40 robos con violencia por cada 100 mil habitantes.,T,https://archivo.cepal.org/pdfs/GuiaProspectiva/VisionMexico2030.pdf,El empoderamiento de las mujeres cambia los valores tradicionales de género y reinventa los roles y estilos de familia. ,T,https://www.aecoc.es/articulos/irr-las-20-megatendencias-que-cambiaran-el-mundo-en-2030/,Esperanza de vida al nacimiento mujeres : 81.15,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,"The United Nations forecasts that by 2030, that number will have risen to 8.5 billion and by 2040, it will have reached over 9 billion.",D,https://www.allianz-partners.com/content/dam/onemarketing/awp/azpartnerscom/reports/futorology/Allianz-Partners-Megatrends-of-the-21st-Century-ENG.pdf
5,El ingreso promedio de las mujeres será igual al de los hombres o representará al menos el 80% del ingreso de éstos.,T,https://archivo.cepal.org/pdfs/GuiaProspectiva/VisionMexico2030.pdf,"Se expandirá con rapidez una nueva «clase media» mundial en los países emergentes, principalmente en las ciudades, y especialmente en Asia.",T,https://www.aecoc.es/articulos/irr-las-20-megatendencias-que-cambiaran-el-mundo-en-2030/,Cantidad de Hombres : 70719259,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,"El número promedio de dispositivos conectados, por persona, es de 19",T,https://www.quantumrun.com/future-timeline/2040
6,El 90% de la población de 18 años o más se sentirá segura.,T,https://archivo.cepal.org/pdfs/GuiaProspectiva/VisionMexico2030.pdf,"La migración puede seguir aumentando, en particular en las rutas sur-sur.",T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Cantidad de Mujeres : 74221252,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,"El número global de dispositivos conectados a Internet alcanza 171,570,000,000",T,https://www.quantumrun.com/future-timeline/2040
7,Reduce la tasa de mortalidad materna a menos de 10 defunciones por cada 100 mil nacimientos vivos.,T,https://archivo.cepal.org/pdfs/GuiaProspectiva/VisionMexico2030.pdf,"Las crecientes desigualdades de acceso a los recursos (educación, servicios sanitarios) pueden provocar un grave descontento social.",T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Inmigrantes internacionales : 147119,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,El tráfico global de Internet crece a 1.628 exabytes,T,https://www.quantumrun.com/future-timeline/2040
8,Ningún estado de la república tendrá un nivel de pobreza patrimonial más de 10 puntos porcentuales superior al promedio nacional.,T,https://archivo.cepal.org/pdfs/GuiaProspectiva/VisionMexico2030.pdf,Continuo crecimiento imprevisto de la población mundial hasta los 11 000 o 12 000 millones de personas,T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Tasa bruta de mortalidad : 7.78,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,La población mundial prevista para llegar a 9.157.233.000,T,https://www.quantumrun.com/future-timeline/2040
9,Alcanza un nivel de escolaridad promedio de 15 años.,T,https://archivo.cepal.org/pdfs/GuiaProspectiva/VisionMexico2030.pdf,Las pandemias mundiales no controladas podrían propagarse con efectos sistemáticos. ,T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Tasa bruta de natalidad: 12.64,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,"Los implantes de memoria podrían usarse para acelerar el tiempo de los prisioneros, permitiéndoles cumplir sentencias máximas en un día",T,https://www.quantumrun.com/future-timeline/2040
10,Se logrará una calificación en el examen PISA en las pruebas de matemáticas y comprensión de lectura similar a la media de los países de la OCDE.,T,https://archivo.cepal.org/pdfs/GuiaProspectiva/VisionMexico2030.pdf,Promedio de edad en el mundo: 33.2,D,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Tasa de mortalidad infantil hombres : 7.19,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,"los españoles vivirán 85,8 años en promedio, desbancando a Japón del primer lugar que mantuvo durante mucho tiempo.",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#0
